entidad,nit_entidad,codigo_entidad,departamento_entidad,ciudad_entidad,procesos,completitud_promedio,pct_con_url,pct_con_descripcion,pct_con_precio_base,pct_ids_clave,pct_consistencia_estados,pct_competencia_reportada,pct_trazabilidad_temporal,pct_anomalia_temporal
ALCALDIA MUNICIPAL PROVIDENCIA Y SANTA CATALINA ISLAS,800103021,702738568,"San Andrés, Providencia y Santa Catalina",Providencia,4,89.515,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDIA MUNICIPAL TAUSA,899999481,704079417,Cundinamarca,Tausa,4,83.87,100.0,100.0,50.0,100.0,100.0,0.0,0.0,0.0
ALCALDIA MUNICIPIO CARTAGENA DEL CHAIRA,800095754,702585928,No Definido,No Definido,4,89.515,100.0,100.0,100.0,100.0,100.0,75.0,0.0,0.0
ALCALDIA MUNICIPIO DE CUITIVA,8918557697,702506155,Boyacá,Cuítiva,4,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDIA MUNICIPIO DE MANZANARES,890802505,702068057,Caldas,Manzanares,4,90.32,100.0,100.0,75.0,100.0,100.0,100.0,0.0,0.0
ALCALDIA MUNICIPIO DE SITIONUEVO,891780103,704357375,Magdalena,Sitionuevo,4,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDÍA MUNICIPAL DE EL PASO,800096592,705745883,Cesar,El Paso,4,89.1125,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDÍA MUNICIPIO DE SIACHOQUE,891801911,703630160,Boyacá,Siachoque,4,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDÍA MUNICIPIO LA PLAYA DE BELÉN,800000681,703937128,Norte de Santander,La Playa,4,86.29,100.0,100.0,100.0,100.0,100.0,50.0,0.0,0.0
ASMETA,900056772,714520012,Meta,Villavicencio,4,84.6775,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
CONCEJO MUNICIPAL DE VILLAVICENCIO,800104048,714556230,Meta,Villavicencio,4,87.095,100.0,100.0,75.0,100.0,100.0,50.0,0.0,0.0
CONCEJO MUNICIPAL SANTA ROSA DE OSOS,890981554,705403848,Antioquia,Santa Rosa De Osos,4,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
CONTRALORIA GENERAL DE LA REPUBLICA-CGR- GERENCIA DEPARTAMENTAL CASANARE,899999067,708703582,No Definido,No Definido,4,89.515,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
CÁRCEL Y PENITENCIARÍA DE MEDIA SEGURIDAD DE LÍBANO,809002634,703124545,Tolima,Líbano,4,89.515,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
DIRECCIÓN TERRITORIAL DE NARIÑO,8070006594,709261739,Nariño,Pasto,4,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
EMPRESA PRESTADORA DEL SERVICIO PUBLICO DOMICILIARIO DE ASEO E.S.P,811022269,705403624,Antioquia,Chigorodó,4,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
EMPRESA SOCIAL DEL ESTADO DEL MUNICIPIO DE VILLAVICENCIO,822002459,702575192,Meta,Villavicencio,4,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
